Tweet,sentiment
Bruins notebook: Danton Heinen getting the job done on Boston's top line https://t.co/czl1xj2r1f,1
"One of the players at the Bruins vs. Tampa game just shouted ""That's f----king personal!"" And you could very CLEARLY hear it. 

And I really hope it was a Boston Bruin because you don't poke the bear!

NBC is in for some trouble 😂😂",1
RT @BezansonAlex: HUG FOUNDATION OF MA INC is fundraising for Boston Bruins Alumni vs. HUG Foundation Ice Huggers: https://t.co/a7I90f2X5V,1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"Riskier bc it’s against TB, but I like the Boston Bruins to score first, 1/2 Unit",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
The Bruins are outshooting TB 11-4 without their top offensive player. Tampa has been healthy all season. They're not as far ahead of Boston as people think.,1
HUG FOUNDATION OF MA INC is fundraising for Boston Bruins Alumni vs. HUG Foundation Ice Huggers: https://t.co/a7I90f2X5V,1
boston bruins play as a team they are worth my attention unlike the celtics,1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"Bruins have lost their last 2 games vs the Lightning, including a 3-2 loss in Tampa on Dec. 6 (1st of 4 meetings this season). Boston is 13-3-0 in their last 16 home games vs. TB. The Lightning beat the B's in 5 games in the 2nd rd last spring

#NHLBruins #Lightning #MetroBoston.",0
Everyone talking about the Celtics struggles but how about we talk about how the bruins are the 2nd best team out of 31 NHL teams and 3rd best team out of 4 Boston teams,1
"@boozychef @GailBenzler @_drazzari @joycewineco @MontereyWines @jflorez @joneill55 @Friscokid49 @RedWineCats @SideHustleWino @forkmespoonme @winestainedlens @TheVAGrape @cuvee_corner Can you schmooze a mohair?!!  Good grief, it’s not even PS time yet &amp; your zany tweets are already provoking me to open another bottle of wine.... thank god the Tampa Bay Lightning are playing the Boston Bruins tonight..... must keep my sanity for the power plays!! 🏒😬🍷😎",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"@IslesGirl3 I hate the Bruins, but we can all agree that this video is fucking messed up because that’s Boston’s song. You tried.",0
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"Puck drop in Boston!! Bolts vs Bruins!!! 

#NHLBruins #BruinsFam #NHL #HockeyTwitter #IceSurfing #BREAKING #BreakingNews #Need2 #Bruins #ThursdayThoughts #ThursdayMotivation @NHLBruins",0
Game on from Boston! Tampa with the early possession and the Bu's ice it after a few in tight shots. Poor start for the Bruins,0
"@SaraCivian Worse than Philly? Maybe Boston has a sense of entitlement with all the Celtics, Bruins, and lately Patriots and Red Sox Championships.? The best thing I can say about Sox fans is at least they’re not Yankees fans",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
The Lightning and Bruins are underway from the TD Garden in Boston. This is the first time in NHL that two teams with point streaks of 14 or more games are playing one another. #TBLightning #TBLvsBOS #GoBolts,1
"It's about time for the Lightning to take on the Boston Bruins. Second night of a back to back, after playing a so-so game yesterday. We'll see how they look tonight against a tougher opponent that has been playing well.",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",1
"This rink is more familiar, still feels special to cover NHL games. Bruins and Lightning for SportsTalk Florida. #NHL #Boston #Atlantic #Lightning #Bruins @ TD Garden https://t.co/friFPInjeO",1
"Watch live: Tampa Bay Lightning – Boston Bruins (NHL) - Free NHL Live Streams, Link AceStream, Link sopcast https://t.co/OQk0k406nr",1
RT @BlackAndGold277: The Value of Peter Cehlarik Down the Bruins' Homestretch https://t.co/jnfLjsc84a via @CSthinks #NHLBruins #Boston #Bru…,1
