Tweet,Author,Date
"@sabretoof l“Starting today, the Buffalo Sabres reason for existence is to win the Stanley Cup,”  -Terry Pegula",Fire Housley ⚡,2019-03-01 01:12:40
"GOAT HEAD SNIPE, GO FAST! Buffalo Sabres 1996-2000 Home Blank CCM Size M— $35 BIN! For those who are new here, I don’t just 💩-post about #TJFtavares— I actually find jerseys, too. If you’re the lucky winner, let us know! #FoundByTJF #Sabres #HockeyTwitter https://t.co/jw8r7XEeC8",The Jersey Finder- TJF,2019-03-01 01:05:08
"@T91Kh MLSE, all suits in the ACC, proof in the pudding, watch Leafs vs Sabres in Buffalo, Leafs vs sens in Ottawa, I've been to Leafs games all u see is suits",نعيم,2019-03-01 00:59:15
Cheap Buffalo #Sabres United Center Tickets with Promo Code https://t.co/xjml9oqVur,Capital City Tickets,2019-03-01 00:35:04
RT @BillHoppeNHL: New! #Sabres newcomer Brandon Montour already feels comfortable in #Buffalo and is happy to experience winter again. Stor…,Ms A from BK,2019-03-01 00:34:58
"The Thursday C&amp;C SportsROC Report now on https://t.co/9bV37uWWwq with stories on the Buffalo Bills coach Ken Dorsey, the Buffalo Sabres' Brandon Montour and road woes, and the Rochester Americans announce 2 promotions #ROC",Craig Potter,2019-03-01 00:30:45
@C_Hellwig12 @ontsabres905 @TheChargingBUF @FriedgeHNIC Podcast had a bit more. Mentioned he thinks the Skinner hold up is term. Sabres might be trying to avoid 8 years per his report,Chris Ostrander,2019-03-01 00:23:09
"RT @LetsGoAmerks: Well this is depressing (I didn't make it)...

Dust in the Win(d) Streak - In Memoriam: the Nov. 2018 Buffalo #Sabres

ht…",NHL Sabres News,2019-03-01 00:00:18
"Well this is depressing (I didn't make it)...

Dust in the Win(d) Streak - In Memoriam: the Nov. 2018 Buffalo #Sabres

https://t.co/pclPvSIWiK",Let's Go Amerks,2019-02-28 23:59:23
"GREER (Adjusting Scarf) The Sabres have been rebuilding for a few years. Buffalo started in a flourish but have cooled considerably to 66 points. A PGH win over Buffalo would give them a 10 point separation over them. Also, effectively knocking them out of the playoff race.",john chergi,2019-02-28 23:58:29
RT @haprusak: Brandon Montour said he used yesterday's day off to get some winter clothes after moving to Buffalo. He hasn't seen a lot of…,WGRZ,2019-02-28 23:56:58
"Brandon Montour said he used yesterday's day off to get some winter clothes after moving to Buffalo. He hasn't seen a lot of snow the past few years. 

Hear from @MontourBrandon after his first practice &amp; adjusting to life w/the #Sabres 

@WGRZ

https://t.co/UjpQTqxZS1",Heather Prusak,2019-02-28 23:54:22
"KING: The Hockey Injury Gods have been angry with the PENS recently. Dumo, Letang, Rust, Chaddie, etc. Somehow, the PENS have brushed away these losses to key players. The Columbus win has vaulted the PENS to 74 points. 
GREER: Next opponent! The Buffalo Sabres.",john chergi,2019-02-28 23:53:57
"RT @TBNSports: Rasmus Dahlin learning to absorb big hits, make little plays for Sabres https://t.co/mHbr69jIbA",NY Hockey Online,2019-02-28 23:51:33
RT @BillHoppeNHL: New! #Sabres newcomer Brandon Montour already feels comfortable in #Buffalo and is happy to experience winter again. Stor…,NHL Sabres News,2019-02-28 23:50:12
"New! #Sabres newcomer Brandon Montour already feels comfortable in #Buffalo and is happy to experience winter again. Story: https://t.co/00z02zXMfd ""It was nice to see (snow)."" https://t.co/ConZyf3uTx",Bill Hoppe,2019-02-28 23:50:10
"RT @AmherstAleHouse: 🚨Contest time🚨
RT and follow us for a chance to win this pair of awesome Coors Light/#Sabres⁠ ⁠ aluminum 22 ounce cups…",Buffalo Storm Chaser,2019-02-28 23:45:28
@SabreKevin1639 I am hoping that sooner or later the Sabres organization will be strong enough and deep enough that the best 20 players are on ice in Buffalo and the Amerks are strong too. Not quite there yet. But getting closer.,djsaletta,2019-02-28 23:38:08
Here in Buffalo there's a slight risk of being mistaken for a sabres fan,warmblooded peach full of bones,2019-02-28 23:34:22
"RT @OJHLCougars: ⏪ ICYMI: Third period push gave the Sabres a series lead last night in Buffalo.

Cottam, Burridge, Hiebert and Morrison al…",Steven Faye,2019-02-28 23:31:48
"RT @SouthtownsTicks: Well, there are 8 home Buffalo Sabres games in March.  Anyone still intersted in going?!  Keep the faith! #Sabres #NHL…",Brett,2019-02-28 23:28:33
"Well, there are 8 home Buffalo Sabres games in March.  Anyone still intersted in going?!  Keep the faith! #Sabres #NHL #Buffalo

Click to see the schedule: https://t.co/SvpMmJPOPi https://t.co/GtPkjNBANm",Southtowns Tickets,2019-02-28 23:25:08
"RT @TBNSports: Rasmus Dahlin learning to absorb big hits, make little plays for Sabres https://t.co/mHbr69jIbA",NHL Sabres News,2019-02-28 23:19:56
"Rasmus Dahlin learning to absorb big hits, make little plays for Sabres https://t.co/mHbr69jIbA",Buffalo News Sports,2019-02-28 23:19:15
2012-13 Upper Deck Hockey Heroes 1970s #HH32 Gilbert Perreault Buffalo Sabres https://t.co/WVKcRFtaci https://t.co/vB2Yt6iDqf,Brock A.,2019-02-28 23:13:05
Pittsburgh Penguins vs Buffalo Sabres tomorrow night two tickets section 100 row 20 $100 US each a ticket.  Message me if you are interested.,Ridgeway Ball Hockey,2019-02-28 23:07:57
"RT @LLysowski: ""I wouldn’t have expected this kind of season.""

Rasmus Dahlin is having a historic rookie season while learning on the job…",NHL Sabres News,2019-02-28 23:05:50
Pittsburgh Penguins vs Buffalo Sabres tickets for tomorrow night in Buffalo section 100 row 20...two tickets available $100 US each.  Message me if you are interested!,Ridgeway Ball Hockey,2019-02-28 23:04:15
"RT @LLysowski: ""I wouldn’t have expected this kind of season.""

Rasmus Dahlin is having a historic rookie season while learning on the job…",Mike Harrington,2019-02-28 23:03:57
"""I wouldn’t have expected this kind of season.""

Rasmus Dahlin is having a historic rookie season while learning on the job #Sabres

https://t.co/iCj4769vSH",Lance Lysowski,2019-02-28 22:39:11
My grandson-to-be's first Buffalo Sabres game #sabres ... Unfortunately they lost but Colleen said he was kicking when we cheered LET'S GO BUFFALO! Already a SABRES' fan! @ Wells Fargo… https://t.co/7SpyX81a6z,Dave Delaney,2019-02-28 22:23:18
"RT @TBNSports: Sabres' Carter Hutton suffers injury in practice; Vladimir Sobotka, Marco Scandella day to day https://t.co/2vHeLILJRh",Michael Augello,2019-02-28 22:20:30
"It's almost Sunday which means the @buffalo_bs Ep. 6 naming poll. We have a tailgating punter, a big visored defenseman, the leader of the tank, and a 2nd round draft pick that had a 15 year NHL career.  #NHL #NFL #buffalo #buffalobills #Sabres #polls #podcast #hockey #football",Buffalo BS,2019-02-28 22:18:23
"RT @TBNSports: Sabres' Carter Hutton suffers injury in practice; Vladimir Sobotka, Marco Scandella day to day https://t.co/2vHeLILJRh",NHL Sabres News,2019-02-28 22:15:24
"Sabres' Carter Hutton suffers injury in practice; Vladimir Sobotka, Marco Scandella day to day https://t.co/2vHeLILJRh",Buffalo News Sports,2019-02-28 22:15:07
Pittsburgh Penguins vs. Buffalo Sabres – 3/1/2019 Free Pick &amp; NHL Betting Prediction -  https://t.co/gInhPRjhmq,Razor Ray Monohan,2019-02-28 22:08:11
"Bikini Body Diet - Sabres' Carter Hutton suffers injury in practice; Vladimir Sobotka, Marco Scandella day to day - Buffalo News https://t.co/3N8KtrXz46 #fitness #diet https://t.co/YV4QeiJqIE",The Bikini Body Diet,2019-02-28 22:00:08
RT @TBNSports: Jack Dougherty 'keeps it simple' for Amerks https://t.co/HrF1gFkwb4,NY Hockey Online,2019-02-28 21:49:36
"RT @LLysowski: Brandon Montour wasn't entirely pleased with how he played in his #Sabres debut, but his first game showed why Jason Botteri…",NY Hockey Online,2019-02-28 21:48:24
"RT @BillHoppeNHL: #Sabres goalie Carter Hutton leaves practice, status uncertain for Friday: https://t.co/YNtlcSacij #Buffalo https://t.co/…",Bill Hoppe,2019-02-28 21:41:42
"@penguins BRAVO! Knew you had it in you, Gentlemen. I hope Ruhwedel will be OK &amp; it wasn't serious. We must pull together for our D-men &amp; win the next one by ""shuffling the Sabres off to Buffalo"". Have no fear....Lord Stanley is near! Just stay outta the sin bin &amp; force those pucks in net.",Pens Hen,2019-02-28 21:36:18
Flyers Beat Sabres – Slim Playoff Hopes Alive #flyers #bhivenectar #bhivechat #bhive #bhivelabs #nhl https://t.co/TDgwv3V2Qa,Flyers Bee,2019-02-28 21:35:10
"RT @BoltsJolts: TB now on a 10-0-0 run. 

TB is FINALLY as good as the Buffalo Sabres. 

Sorry, this will be my last attack on the Buffalo…",morgan,2019-02-28 21:32:35
"RT @LLysowski: Brandon Montour wasn't entirely pleased with how he played in his #Sabres debut, but his first game showed why Jason Botteri…",Mike Harrington,2019-02-28 21:31:33
RT @TBNSports: Jack Dougherty 'keeps it simple' for Amerks https://t.co/HrF1gFkwb4,Mike Harrington,2019-02-28 21:31:19
Jack Eichel shifts momentum for Buffalo Sabres with power play goal - NBC Sports  https://t.co/7y37QmOpjd,Buffalo Breeze,2019-02-28 21:19:22
"@SalSports As a Buffalo sports fan it might look like this..Drought II continues at 15 seasons..Tom Brady says he will play another 5 years until he is 60..Jack Eichel,36, wins his 4th cup, all with Houston....Bills and Sabres moving into to the new $7 billion floating super dome stadium.",Greg Kasprzak,2019-02-28 21:17:21
"RT @essbeeay: things i'm looking forward to for the rest of the Sabres season: 

1) a Jeff Skinner extension
2) Jeff Skinner signing an ext…",BOBBY K,2019-02-28 21:00:14
"Two more hours of work, off to Buffalo with my love for the Sabres/Pens game tomorrow.  The girl is from the Burgh and is more excited about the Buffalo Wings we’re going to get after 😂",Wolfie,2019-02-28 20:58:17
"@JSB_TV @ColeWrightNFL @Bharper3407 The @FlaPanthers did this to comedic effect before but stopped after mocking a Buffalo blizzard with the Sabres in town.

They wisely stopped but “Sunrise 83 Montreal -14” had a few lulz",Todd Andrew Faber 💪🏼💪🏿🌈,2019-02-28 20:55:32
"RT @STLBlueshistory: St Louis Blues trade Jaroslav Halak, Chris Stewart &amp; 1st rd pick to the Buffalo Sabres for Ryan Miller &amp; Steve Ott on…",Caleb Woods,2019-02-28 20:53:45
"RT @essbeeay: things i'm looking forward to for the rest of the Sabres season: 

1) a Jeff Skinner extension
2) Jeff Skinner signing an ext…",Flash Weiss  ⚡️,2019-02-28 20:44:05
"RT @essbeeay: things i'm looking forward to for the rest of the Sabres season: 

1) a Jeff Skinner extension
2) Jeff Skinner signing an ext…",Jack,2019-02-28 20:42:25
"RT @essbeeay: things i'm looking forward to for the rest of the Sabres season: 

1) a Jeff Skinner extension
2) Jeff Skinner signing an ext…",Erin Roberts,2019-02-28 20:29:39
Cheap Buffalo Sabres United Center Tickets with Promo Code https://t.co/ZPODvx4d62,Capital City Tickets,2019-02-28 20:15:08
RT @CMDeDominicis: One of the concerns in signing Skinner to a long-term is if he’ll be able to continue to produce at a high level. I’m he…,Steven Roberts,2019-02-28 20:14:55
"RT @LLysowski: More injures for the #Sabres. Carter Hutton's availability for Friday against Pittsburgh is uncertain after he ""tweaked some…",Mike Harrington,2019-02-28 20:11:56
"This past Saturday night two teams with a special bond faced-off, as the Shamrocks took on the Buffalo Sabres Thunder for the 3rd annual Rock N’ Thunder Cup 🏆! https://t.co/7cO0rIuzph",Buffalo Shamrocks,2019-02-28 20:00:04
"RT @BillHoppeNHL: #Sabres goalie Carter Hutton leaves practice, status uncertain for Friday: https://t.co/YNtlcSacij #Buffalo https://t.co/…",Dan Hickling,2019-02-28 19:55:44
Buffalo Sabres vs. Pittsburgh Penguins - 3/1/19 NHL -  https://t.co/gWXg3u5xza,Mark Roberts,2019-02-28 19:50:22
"RT @BuffSportsHstry: #OTD in 1981 with Gil Perreault, Richard Martin and Danny Gare out with injuries, the Buffalo Sabres look to their che…",ManageYourLeague.com,2019-02-28 19:42:34
The Buffalo Sabres announced that the team pizza party for the end of the year will be April 15th #Sabres,speedyjd,2019-02-28 19:40:52
"RT @essbeeay: things i'm looking forward to for the rest of the Sabres season: 

1) a Jeff Skinner extension
2) Jeff Skinner signing an ext…",Kyle Holmes,2019-02-28 19:39:52
"Scandella, Marco #6 (D)  Buffalo Sabres (2) - Undisclosed - DAY-TO-DAY",Officepools Feed,2019-02-28 19:38:52
"Hutton, Carter #40 (G)  Buffalo Sabres (2) - Lower Body - DAY-TO-DAY",Officepools Feed,2019-02-28 19:38:51
RT @lauren_cullinan: FUNDRAISER ALERT: Help the Fredonia Women’s Soccer Team go to Europe by buying a raffle ticket for $40 that gives you…,Shania Platt,2019-02-28 19:30:35
RT @BroadStBull: New #Flyers RW Ryan Hartman arrives with a bang in win over Sabres | Sam Donnellon https://t.co/i1VWr3eiZe,e.o,2019-02-28 19:27:21
RT @BroadStBull: .⁦@NHLFlyers⁩’ Claude Giroux on feisty RW Ryan Hartman: ‘Orange and black is going to look good on him’ https://t.co/647Md…,e.o,2019-02-28 19:27:19
"RT @BroadStBull: Updated with quotes: Without Wayne Simmonds, #Flyers keep rolling as Brian Elliott keys 5-2 victory over Buffalo https://t…",e.o,2019-02-28 19:27:04
RT @BroadStBull: #Flyers keep rolling as Brian Elliott keys 5-2 victory over Buffalo https://t.co/Qis0Uo7h7E,e.o,2019-02-28 19:26:58
RT @BroadStBull: Updated story: #Flyers’ Claude Giroux on feisty Ryan Hartman: ‘Orange and black is going to look good on him’ https://t.co…,e.o,2019-02-28 19:26:29
RT @BroadStBull: .⁦@NHLFlyers⁩ Claude Giroux on feisty Ryan Hartman: ‘Orange and black is going to look good on him’ https://t.co/647MdghoYs,e.o,2019-02-28 19:25:27
"RT @BillHoppeNHL: #Sabres goalie Carter Hutton leaves practice, status uncertain for Friday: https://t.co/YNtlcSacij #Buffalo https://t.co/…",NHL Sabres News,2019-02-28 19:19:50
"#Sabres goalie Carter Hutton leaves practice, status uncertain for Friday: https://t.co/YNtlcSacij #Buffalo https://t.co/v4hhppy3Do",Bill Hoppe,2019-02-28 19:19:37
