Tweet,Author,Date
"RT @TheHockeyNews: Carolina's post-win celebrations have grabbed headlines throughout the hockey world, but it's overshadowing the bigger s…",Lace Em Up,2019-03-01 08:17:10
NHL Game Preview: St. Louis Blues vs. Carolina Hurricanes - 3/1/2019 - 7:35 PM EST - READ HERE: https://t.co/kRx7nYACPr,CapperTek,2019-03-01 08:07:09
"RT @BradGalli: The Carolina Hurricanes hit a walk-off home run after their win. 

This celebration is AWESOME  https://t.co/0zLXQkCM5b",Mark A Holder,2019-03-01 04:28:13
"RT @NHL_AaronWard: @zookmann @JonMichaels89 @SaraCivian Ok, again maybe not my place but in response to your “sunglasses (Islanders) HOCKEY…",Stephen Di Luca,2019-03-01 04:15:28
"RT @NHL_AaronWard: @zookmann @JonMichaels89 @SaraCivian Ok, again maybe not my place but in response to your “sunglasses (Islanders) HOCKEY…",Will,2019-03-01 03:59:04
"@zookmann @JonMichaels89 @SaraCivian Ok, again maybe not my place but in response to your “sunglasses (Islanders) HOCKEY CULTURE cat meme”, BOTH the Carolina Hurricanes and Arizona Coyotes know where their home rink is currently. I’ll let that sink in for a moment to let you step off that soapbox you’re currently on",Aaron Ward,2019-03-01 03:56:34
RT @timhirsch64: Carolina Hurricanes’ Coach Rod Brind’Amour is already making plans for their postgame celebration tomorrow. Not so fast Br…,Julie Faulkner,2019-03-01 03:25:58
@SaraCivian I hope some of your level headedness has come from having a front row seat to the saga that is the Carolina Hurricanes.  We're a fun bunch because we learned to laugh when we really wanted to cry.  Self deprecating for self preservation.   It's truly the Nirvana of fandom.,canesmandan,2019-03-01 03:25:08
RT @timhirsch64: Carolina Hurricanes’ Coach Rod Brind’Amour is already making plans for their postgame celebration tomorrow. Not so fast Br…,mike schmaeng,2019-03-01 03:22:25
New York Islanders fans are trying their hardest to take the cringe crown from the Carolina Hurricanes,Greg K,2019-03-01 03:11:17
@TXSportsLife Keep an eye on Parker Native David Cotton (@BCEagles/Carolina Hurricanes Prospect) and Plano Native Max Gildon (@UNHMHOCKEY/Florida Panthers Prospect). With the @NCAAIceHockey Regular Season wrapping up soon. They is a chance that at least 1 (possibly both) could,Tanner Wilson,2019-03-01 03:10:30
"RT @TheHockeyNews: The Storm Surge gets all the headlines, but the Hurricanes have been playing the best hockey of any team in the NHL over…",Doug Abrams,2019-03-01 03:09:01
6) Carolina Hurricanes - Justin Faulk https://t.co/u6bklgKdhi,Tim,2019-03-01 02:59:13
RT @timhirsch64: Carolina Hurricanes’ Coach Rod Brind’Amour is already making plans for their postgame celebration tomorrow. Not so fast Br…,Ray Brandon Standefer,2019-03-01 02:54:04
The Hurricanes' postgame celebrations have come a long way this season and are bound to only get better from here https://t.co/hzvUEZBiiT,SI NHL,2019-03-01 02:45:06
"RT @FlyingVCards: Selling this brand new @UpperDeckHockey Andrei Svechnikov Young Guns from the Carolina Hurricanes. 

$36 Canadian shipped…",The6ix,2019-03-01 02:32:37
"RT @TheHockeyNews: Carolina's post-win celebrations have grabbed headlines throughout the hockey world, but it's overshadowing the bigger s…",SailorGoon,2019-03-01 02:28:42
"RT @TheHockeyNews: Carolina's post-win celebrations have grabbed headlines throughout the hockey world, but it's overshadowing the bigger s…",TakeWarning1819,2019-03-01 02:28:14
@johntopeka22 @theScore Pretty sure the owner of the Carolina Hurricanes now owns the league right?,slizzardlizard,2019-03-01 02:13:08
"The Carolina Hurricanes walk out of February with a historically positive showing for the month. They'll need to keep things up down the final stretch:

https://t.co/Q7ulyx1q8Q",The Runner Sports,2019-03-01 02:09:46
RT @timhirsch64: Carolina Hurricanes’ Coach Rod Brind’Amour is already making plans for their postgame celebration tomorrow. Not so fast Br…,𝗕𝗹𝘂𝗲𝘀 𝗥𝗮𝗻𝘁𝘀,2019-03-01 01:35:32
Carolina Hurricanes’ Coach Rod Brind’Amour is already making plans for their postgame celebration tomorrow. Not so fast Brindy! #STLBLUES #TakeWarning #STLvsCAR @bluesrantscom https://t.co/pVn8lDrOPX,Tim Hirsch,2019-03-01 01:26:48
"#NHL Links to Carolina Hurricanes websites #Carolina #Hurricanes #hockey #websites
https://t.co/mt7ZEkmQVh",Tom Gillispie,2019-03-01 01:22:00
