Tweet,Author,Date
@Chicago_History Go blackhawks,(0_0),2019-03-01 01:44:44
Proud Blackhawks Fan ✔️ https://t.co/hyTKmIm9iM,Chicago History ™️,2019-03-01 01:41:49
"RT @NBCSBlackhawks: THAT GOAL WAS BETTER THAN COFFEE! 

.@Brinksy97 ties it up late in the 3rd! STREAM the rest at https://t.co/WHv6h7vrxI…",Chris Osborne,2019-03-01 01:29:47
"BLANK BUDGET STEAL! Chicago Blackhawks Home Blank Reebok Premier Size L— $17.50 BIN! If you’re the lucky winner, let us know! #FoundByTJF #Blackhawks #HockeyTwitter https://t.co/s2lZ68snE2",The Jersey Finder- TJF,2019-03-01 01:20:42
RT @sigg20: “Old Days”A typical Program and some content from a 1963 Ranger-Blackhawk game at the “Old”Madison Square Garden.#NYR⁠ ⁠ #nyran…,Shaolin Munk NY,2019-03-01 00:56:13
Chris Chelios left the Chicago Blackhawks to play for the Detroit Red Wings and didn't get the kind of treat Tavares is getting.,Elaine Shircliff,2019-03-01 00:50:57
RT @NBCSBlackhawks: Collin Delia discussed with @CRoumeliotis what he learned from his time with the #Blackhawks and what his role is going…,Kiki's Keys,2019-03-01 00:49:05
RT @NBCSBlackhawks: Collin Delia discussed with @CRoumeliotis what he learned from his time with the #Blackhawks and what his role is going…,Charlie Roumeliotis,2019-03-01 00:44:46
RT @NBCSBlackhawks: Collin Delia discussed with @CRoumeliotis what he learned from his time with the #Blackhawks and what his role is going…,UNLVRebelGrl,2019-03-01 00:43:01
Collin Delia discussed with @CRoumeliotis what he learned from his time with the #Blackhawks and what his role is going forward: https://t.co/PzQBtn4hYl https://t.co/d7VUu6FV4L,Blackhawks Talk,2019-03-01 00:40:42
"@JamesMSchwartz 🤔🤫🤭😂😂😂😂😂 That is why he begged to be a Cub,  Bears&gt;Eagles, Blackhawks&gt;Flyers  Bulls&lt;76ers Cubs&gt;Phillies, Deep Dish &gt; nothing  Chicago Beefs&gt; Philly cheese steak",UNLVRebelGrl,2019-03-01 00:38:48
"i’m glad i support the least problematic team with the least problematic fan base, the chicago blackhawks",dumbass,2019-03-01 00:30:43
RT @JasonLieser: Alex DeBrincat has arrived as one of the NHL's premier scorers--and he's still years away from hitting his prime. A look a…,Bill Laskonis,2019-03-01 00:20:57
RT @JasonLieser: Alex DeBrincat has arrived as one of the NHL's premier scorers--and he's still years away from hitting his prime. A look a…,Evan F Moore,2019-03-01 00:18:48
Looking back at Collin Delia's role as backup goalie https://t.co/pMuA8LneOL https://t.co/gIy7pskMGt,Blackhawks Fans,2019-03-01 00:13:06
RT @sigg20: “Old Days”A typical Program and some content from a 1963 Ranger-Blackhawk game at the “Old”Madison Square Garden.#NYR⁠ ⁠ #nyran…,Tom's Old Days,2019-03-01 00:03:59
"RT @4_jrdp: Chicago BlackHawks Jar  🏒🥅

Done with an empty 4L glass jar.  Hand Painted w/ one of the Original Six NHL Teams.  
    Can be u…",line pollock,2019-03-01 00:01:42
Blackhawks: What Crawford's return means for CHI (via @VinnieParise) https://t.co/FY9xOZfX8j,Bigg Papa The Don,2019-02-28 23:54:44
"RT @NBCSBlackhawks: THAT GOAL WAS BETTER THAN COFFEE! 

.@Brinksy97 ties it up late in the 3rd! STREAM the rest at https://t.co/WHv6h7vrxI…",Josh Prost,2019-02-28 23:50:00
RT @NBCSBlackhawks: You can catch up on your sleep tomorrow and Friday. Stay up with the @NHLBlackhawks tonight on the #MyTeams App 📲:  htt…,Josh Prost,2019-02-28 23:48:35
The Chicago Blackhawks are currently fucking around in my home town for a couple days,Alex,2019-02-28 23:41:11
@NHLBlackhawks Great to have #50 Corey Crawford back minding the net 🥅for Chicago Blackhawks. Welcome back Corey. Glad to see you win your first game back.,Dennis Zimmerman,2019-02-28 23:24:52
Great to have #50 Corey Crawford back minding the net 🥅for Chicago Blackhawks. Welcome back Corey. Glad to see you win your first game back. https://t.co/JefveXVa5R,Dennis Zimmerman,2019-02-28 23:24:44
RT @JasonLieser: Alex DeBrincat has arrived as one of the NHL's premier scorers--and he's still years away from hitting his prime. A look a…,Luke Stanbery | #KanerForTheHart,2019-02-28 23:16:47
"Alex DeBrincat has arrived as one of the NHL's premier scorers--and he's still years away from hitting his prime. A look at how good he's been and where it goes from here--
https://t.co/owJx845Zxt https://t.co/LmC2Pi8DHF",Jason Lieser,2019-02-28 23:14:35
"RT @CRoumeliotis: Collin Delia opens up about reassignment to @goicehogs, what he learned at NHL level and future with #Blackhawks: https:/…",Micah Blitenthal,2019-02-28 23:14:04
"RT @SBekovic: Collin Delia is a REALLY easy to player to root for, and he opened up to @croumeliotis in this exclusive interview: https://t…",Micah Blitenthal,2019-02-28 23:12:56
"Collin Delia opens up about reassignment to @goicehogs, what he learned at NHL level and future with #Blackhawks: https://t.co/aF3Cg90xCp https://t.co/bE8nDH3re0",Charlie Roumeliotis,2019-02-28 23:09:38
Blackhawks: What Crawford's return means for CHI (via @VinnieParise) https://t.co/FY9xOZfX8j,Bigg Papa The Don,2019-02-28 23:08:41
"RT @CPDHockey: Shout out to our goalie Ryan, who may not always stop pucks, but always stops at @ChiPubSchools to join the @NHLBlackhawks t…",AJ Naps,2019-02-28 23:07:21
"RT @SBekovic: Collin Delia is a REALLY easy to player to root for, and he opened up to @croumeliotis in this exclusive interview: https://t…",brittany nicole,2019-02-28 23:01:18
"Collin Delia on reassignment, what he learned with Blackhawks and future role | NBC Sports Chicago https://t.co/jCxVEogCLa",Demure Shark,2019-02-28 22:54:41
"RT @SBekovic: Collin Delia is a REALLY easy to player to root for, and he opened up to @croumeliotis in this exclusive interview: https://t…",Charlie Roumeliotis,2019-02-28 22:52:20
"RT @mightylocks: #MIGHTYLOCKSPECIAL hits again..

Chicago Blackhawks ML (-120) 4u💰💰💰💰

6-1 in our last seven.. +13.8u

DM for tonight’s win…",Mighty Locks,2019-02-28 22:49:12
"Me, causally listening to pandora waiting for an ad to end. 

Pandora ad: hey this is is Chicago Blackhawks forward number 88 

Me, in the gym: KANER BOYYYYY",︽✵︽ 57 days until Endgame,2019-02-28 22:47:24
"Collin Delia is a REALLY easy to player to root for, and he opened up to @croumeliotis in this exclusive interview: https://t.co/XjqyxOonAu #Blackhawks",Slavko Bekovic,2019-02-28 22:39:27
"RT @BlkHwkNationCHI: On May 21st, 2018 the Chicago #Blackhawks officially signed Dominik Kahun to a two-year entry-level contract. Little w…",Jack Bushman,2019-02-28 22:38:03
"@bruceblitz @virtuososports @ratedhrxmike @calvinphilpott @jessegladsaget Philadelphia sports are going big now. If only the Bulls and the White Sox were good (ironic that the owner owns two of those teams), then Chicago sports would b great. Bears, Blackhawks, and Cubs all good!",Oscar Martinez,2019-02-28 22:26:04
RT @Crackerthe4th: My 2 1/2 year old grandson loves the Chicago Blackhawks and takes the national anthem very seriously! https://t.co/E2IHs…,Julian,2019-02-28 22:18:16
My 2 1/2 year old grandson loves the Chicago Blackhawks and takes the national anthem very seriously! https://t.co/E2IHs2p4jJ,Linda,2019-02-28 22:13:26
"@timy101 Well, it's a little chilly this time of year, so not many outdoor sports going on like baseball or soccer.  Chicago Blackhawks hockey is on the road this weekend, but @chicagobulls basketball is home on Sunday, 3/3 - you could try to catch a game at the @unitedcenter. Good? ^DF",Hilton Suggests,2019-02-28 22:07:05
#12 Alex DeBrincat - Chicago Blackhawks https://t.co/dkMIhkIh9I,sam / 64,2019-02-28 22:05:17
"RT @BarstoolChief: The Blackhawks Think Fans Are Stupid Part 173: Letter To Season Ticket-Holders Pleads With Them To ""Believe"" https://t.c…",Chief,2019-02-28 22:03:30
"RT @NBCSBlackhawks: Collin Delia opens up to @CRoumeliotis on reassignment, what he learned with #Blackhawks and future role: https://t.co/…",𝐀𝐫𝐫𝐢𝐬 𝐏𝐚𝐧𝐨𝐬 🇬🇷🇺🇸,2019-02-28 22:02:23
RT @D230Relay: Eddie Olczyk and the Chicago Blackhawks want you to come cheer on your Chicago Blackhawks for a final playoff push.  The Ame…,Sara Sweeney,2019-02-28 21:48:06
"T1. Chicago Cubs, Purdue Basketball
3. Chicago Bears
4. Chicago Bulls
5. Purdue Football

6. Chicago Blackhawks https://t.co/DiJs82mW5w",Luke,2019-02-28 21:39:56
RT @2ndCityHockey: #Blackhawks prospect MacKenzie Entwistle playing with pair of future Central Division foes in @Storm_City (via @iancmcla…,Ian McLaren,2019-02-28 21:34:43
"RT @NBCSBlackhawks: THAT GOAL WAS BETTER THAN COFFEE! 

.@Brinksy97 ties it up late in the 3rd! STREAM the rest at https://t.co/WHv6h7vrxI…",William C. Toulios,2019-02-28 21:31:10
"Both Americans, both undersized, both on fire, both having big years as the Chicago Blackhawks take aim at a playoff spot. https://t.co/mIVFXL2VdK",@BoWithNoFlow,2019-02-28 21:26:22
#50 Corey Crawford - Chicago Blackhawks https://t.co/BuEDU2pyEu,sam / 64,2019-02-28 21:22:59
"RT @NBCSBlackhawks: Collin Delia opens up to @CRoumeliotis on reassignment, what he learned with #Blackhawks and future role: https://t.co/…",Charlie Roumeliotis,2019-02-28 21:21:32
"@PuckSoupPodcast Chris Chelios signing with Detroit and winning cups. Chicago native, beloved top d man for a solid blackhawks team in the early 90s.",Shawn P. Boyle,2019-02-28 21:19:34
"RT @NBCSBlackhawks: THAT GOAL WAS BETTER THAN COFFEE! 

.@Brinksy97 ties it up late in the 3rd! STREAM the rest at https://t.co/WHv6h7vrxI…",sir master swae 🚭,2019-02-28 21:11:38
"RT @mightylocks: #MIGHTYLOCKSPECIAL hits again..

Chicago Blackhawks ML (-120) 4u💰💰💰💰

6-1 in our last seven.. +13.8u

DM for tonight’s win…",Jonathan Owen,2019-02-28 21:03:32
New for @2ndCityHockey: MacKenzie Entwistle playing with pair of future Central Division foes in @Storm_City https://t.co/F2uxGMa0Cd,Ian McLaren,2019-02-28 21:03:11
RT @2ndCityHockey: #Blackhawks prospect MacKenzie Entwistle playing with pair of future Central Division foes in @Storm_City (via @iancmcla…,Jimmy,2019-02-28 21:01:36
RT @2ndCityHockey: #Blackhawks prospect MacKenzie Entwistle playing with pair of future Central Division foes in @Storm_City (via @iancmcla…,Guelph | Linked,2019-02-28 21:00:50
"RT @LarryLambert6: How appealing are the #Blackhawks, #Bulls, #Bears #WhiteSox and #Cubs to top free agents?  https://t.co/MxOz1vBLZ2 … … ……",Larry Lambert,2019-02-28 21:00:32
