Tweet,Author,Date
Me and Dylan Larkin from the Detroit red wings https://t.co/Xi6C7iqye5,Dez001,2019-03-01 01:04:23
Chris Chelios left the Chicago Blackhawks to play for the Detroit Red Wings and didn't get the kind of treat Tavares is getting.,Elaine Shircliff,2019-03-01 00:50:57
"@brantjames Detroit was Hockeytown, but the title is apparently available now. https://t.co/qd2HYF6Ml8",Viv Bernstein,2019-03-01 00:33:11
"#NHL #RedWings: Red Wings Dr., Detroit Red Wings Plastic Street Style Sign 3.75"" x 16"" https://t.co/C9h90Mkyfb https://t.co/l97gFdClNx",NHL Red Wings Store,2019-03-01 00:13:47
RT @scottmatla: The #Habs saw the best versions of Max Domi and Andrew Shaw  https://t.co/lwcYqFmRFf,Don Treagus,2019-02-28 23:25:22
Ken Holland | Message to Hockeytown | Detroit Red Wings https://t.co/J8xBIrHVxi https://t.co/OrbZ8cIJCT,Wing Nut News,2019-02-28 23:06:04
"@french60wasp Brett Hull signs with the Detroit Red Wings in 2001. He lit the lamp 30 times in the regular season, 10 times in the playoffs, and a Stanley Cup title in 2002.",Michael A. Sizemore,2019-02-28 22:56:19
"@gordonm64 I’ve been in Detroit for the Red Wings last five games, they only seem to show up for one period of a game...🙈🤷🏼‍♂️",Robin Allen,2019-02-28 22:46:53
Just turned my buddy on to the Detroit Red Wings and hockey In general. He was impressed.,Liam,2019-02-28 22:40:41
"RT @drosennhl: No, it's not the same, but Mike Babcock knows a little about how John Tavares is feeling now. He left Detroit on his own to…",eh rangers,2019-02-28 22:37:50
"RT @drosennhl: No, it's not the same, but Mike Babcock knows a little about how John Tavares is feeling now. He left Detroit on his own to…",Gregory,2019-02-28 22:34:06
Ken Holland | Dylan Larkin | Detroit Red Wings #DetroitRedWings  https://t.co/mMGZoJYGsO https://t.co/PBLlKPXyle,Red Wings Report,2019-02-28 22:25:02
Ken Holland | Madison Bowey | Detroit Red Wings #DetroitRedWings  https://t.co/UVSNeyHhg9 https://t.co/3Ksq3gLC5R,Red Wings Report,2019-02-28 22:25:01
Ken Holland | Message to Hockeytown | Detroit Red Wings #DetroitRedWings  https://t.co/mMRAriHBY9 https://t.co/NM0BZgmLrx,Red Wings Report,2019-02-28 22:25:00
"No, it's not the same, but Mike Babcock knows a little about how John Tavares is feeling now. He left Detroit on his own to go to Toronto. 

""People come up to me all the time and say, ‘I’m a Red Wings fan.’ I say, ‘I am too.’ John is an Islanders fan, will be for life.""",Dan Rosen,2019-02-28 22:24:18
Ken Holland | The Foundation | Detroit Red Wings #DetroitRedWings  https://t.co/REEC5cWf1i https://t.co/9thPdiLN0H,Red Wings Report,2019-02-28 22:22:55
