Tweet,Author,Date
"@Jaybird335 Vikings
Nashville SC
Predators
Timberwolves
Tennessee &amp; Manchester United",.,2019-03-01 01:55:00
"@mrloweco @SouthKariya How do you ""win the rivalry"" when you've yet to make any actual damage in the playoffs? Lmao maybe the team should be called the Nashville Chokers

Actually, I forgot about Ribeiro and Watson. Yeah, Predators works.",matt,2019-03-01 01:34:28
"1. Tennessee Volunteers (any sport)
2. Cincinnati Reds
3. Carolina Panthers
4. Cleveland Cavaliers
5. New York Yankees
6. Nashville Predators https://t.co/rvU2DytoDq",Mac Williams,2019-03-01 00:43:31
"RT @RStanleyNHL: After a crazy week, Mikael Granlund is ready to roll for the #Preds  https://t.co/HZwQkUDSD2",Clayton Wilson,2019-03-01 00:41:17
Poll News: Subban named 'most overrated' in NHL players' poll - Nashville Post https://t.co/0vyMYTnavJ,Poll News Network,2019-03-01 00:23:02
"RT @WhatsSleep_TV: 🎨 A Tupac and Biggie painting pictured in Nashville, TN with a Titans &amp; Predators Jersey. https://t.co/hKWZFp5wuN",Kevin Marien,2019-02-28 23:49:07
"RT @LeighDx13: Nashville Predators or their fanbase: Does anything.

Other fanbases: WhY dOnT yOu RaISe aNoThEr BaNNeR? LoLs https://t.co/2…",Stephan Schwab,2019-02-28 23:24:36
"RT @RStanleyNHL: After a crazy week, Mikael Granlund is ready to roll for the #Preds  https://t.co/HZwQkUDSD2",Elliot,2019-02-28 23:22:20
"RT @LeighDx13: Nashville Predators or their fanbase: Does anything.

Other fanbases: WhY dOnT yOu RaISe aNoThEr BaNNeR? LoLs https://t.co/2…",ً,2019-02-28 23:11:32
"Nashville Predators or their fanbase: Does anything.

Other fanbases: WhY dOnT yOu RaISe aNoThEr BaNNeR? LoLs https://t.co/2i06lFvS8k",Beardquist 🐙,2019-02-28 23:07:35
@RikRankin Go to a Nashville Predators game if you can!,Cheryl Clark,2019-02-28 22:46:15
"@JSemich @FifthThird @BrdgstoneArena If you already have an account, it'll be the next card you get when yours expires.

If you don't yet have an account - https://t.co/FwbSqK75yl",Cellblock 303,2019-02-28 22:39:52
"RT @RStanleyNHL: After a crazy week, Mikael Granlund is ready to roll for the #Preds  https://t.co/HZwQkUDSD2",Eternal Darkness of the Thoughtless Mind,2019-02-28 22:28:01
"RT @RStanleyNHL: After a crazy week, Mikael Granlund is ready to roll for the #Preds  https://t.co/HZwQkUDSD2",Robby Stanley,2019-02-28 22:25:23
