Tweet,Author,Date
"RT @SportsCentre: #Islanders fans shower boos on former captain John Tavares all night, and the team enjoys a 6-1 thumping of the #MapleLea…",Richard Slate,2019-03-01 09:18:07
"New York fans serenaded John Tavares, who was the face of the Islanders for nine years, with choruses of “We don’t need you!” and other derisive chants throughout the game.

https://t.co/E74tTz9mMn",1460 CJOY,2019-03-01 08:31:03
"New York Islanders prove they don’t need Tavares; blow out Toronto 6-1 -  
https://t.co/9khqy4Xhdo via @PPPLeafs",FreakOnaLeash,2019-03-01 08:25:30
RT @NYIslesNation: I love my New York Islanders,Tj,2019-03-01 08:19:53
RT @NYIslesNation: I love my New York Islanders,Vincent Gennarelli,2019-03-01 08:15:49
RT @trump_nhl: Liddle Mikey O'Connor is attacking fans of the New York Islanders after Pajama Robot Boy LOST and badly failed tonight. The…,6ill9uinn,2019-03-01 08:09:59
NHL Game Preview: Washington Capitals vs. New York Islanders - 3/1/2019 - 7:05 PM EST - READ HERE: https://t.co/EiACUGOC99,CapperTek,2019-03-01 08:07:08
"RT @trump_nhl: Sloppy Steve Dangle is crying so very loudly after watching his propaganda Toronto Maple Leafs LOSE BADLY to big, bad Barry…",Skip.,2019-03-01 08:06:07
"RT @trump_nhl: Sloppy Steve Dangle is crying so very loudly after watching his propaganda Toronto Maple Leafs LOSE BADLY to big, bad Barry…",Wesablo,2019-03-01 08:04:39
"RT @SportsCentre: #Islanders fans shower boos on former captain John Tavares all night, and the team enjoys a 6-1 thumping of the #MapleLea…",Richard Anthony Piet,2019-03-01 08:00:25
The New York Islanders are proof that spite will take you anywhere.,dovekie,2019-03-01 07:54:30
Year 5 of Former #Redwings in Tornoto and Leafs get blown out by #islanders  Love this score and highlights  6 to 1 to top @NHL Eastern conference team.  Just like what #Bruins are going to do to Leafs.  Enoy  https://t.co/ZDX95DCFhz @Bing summary,Christopher McMillan,2019-03-01 07:54:07
RT @NYIslesNation: I love my New York Islanders,Phineas and Ferb,2019-03-01 07:49:11
"RT @BComptonNHL: Islanders score six, surge past Maple Leafs in Tavares return https://t.co/ocAM7nH9Tv via @NHLdotcom #Leafs #Isles",Travis Flynn,2019-03-01 07:47:38
"You know, it's taking all my self control to not comment on the hi-jinks of fans at that Leafs-Islanders game. Suffice to say they were keeping it classy like New York Post headlines. https://t.co/F5FwPvTlDE",Stefan L. Shirley,2019-03-01 07:45:53
"RT @trump_nhl: Sloppy Steve Dangle is crying so very loudly after watching his propaganda Toronto Maple Leafs LOSE BADLY to big, bad Barry…",Butchisms,2019-03-01 07:45:32
"RT @LeafsMaz20: New York Islanders #Isles fans:

~ I can’t wait to boo Tavares 
~ We don’t need you Video 
~ JT is a Snake 🐍 
~ Barzal is b…",Sunnydays,2019-03-01 07:44:27
"Islanders score six, surge past Maple Leafs in Tavares return https://t.co/ocAM7nH9Tv via @NHLdotcom #Leafs #Isles",Brian Compton,2019-03-01 07:41:53
"""WHO'S YOUR DADDY"" the New York Islanders smoke the Leafs. I hope these two teams meet in the playoffs. #Nhl #hockey https://t.co/V3MEsqs0tR",The Hockey Show,2019-03-01 07:30:06
"RT @KPapetti: Dear Leo, 

For 5 years you were part of the Leafs, and many of those years you were the assistant captain. 

I'll never forg…",Connor McMatthews,2019-03-01 07:27:05
RT @FrankieBorrelli: THE NEW YORK ISLANDERS WIN THE GODDAMN HOCKEY GAME! THIS TEAM JUST CONTINUES TO PROVE PEOPLE WRONG! WHAT AN UNBELIEVAB…,Vinny L.,2019-03-01 07:18:23
RT @NYIslesNation: I love my New York Islanders,Vinny L.,2019-03-01 07:18:13
@sports_fan_2007 I have bad news for you Scott https://t.co/1uxBmy8ocO,Hockey Ranter,2019-03-01 07:14:37
"RT @TSNHockey: It’s 4-1 #Isles after 40 and the crowd is ROWDY...

https://t.co/qX4v0ctcVs #TSNHockey #Tavares https://t.co/zQrLNZ6rZz",⚠️Guy On The Couch⚠️,2019-03-01 07:13:11
"RT @SwissHockeyNews: ✅ FINAL SCORE | NHL, Regular Season: 
▪️ #TOR @ #NYI 1-6
📋 NYI: Luca Sbisa was a healthy scratch.
------
https://t.co/…",Eishockey Schweiz,2019-03-01 07:12:35
"RT @SportsCentre: #Islanders fans shower boos on former captain John Tavares all night, and the team enjoys a 6-1 thumping of the #MapleLea…",Rob Fredryk Szopen,2019-03-01 07:11:23
"Islanders score six, surge past Maple Leafs in Tavares return https://t.co/if5tRDrPuM via @NHLdotcom",Briar Rose,2019-03-01 07:11:15
RT @trump_nhl: Liddle Mikey O'Connor is attacking fans of the New York Islanders after Pajama Robot Boy LOST and badly failed tonight. The…,Davidleonard917,2019-03-01 07:06:54
"Find us right with you at the top of the standings hater RT @LeafsMaz20: New York Islanders #Isles fans:

~ I can’t wait to boo Tavares 
~ We don’t need you Video 
~ JT is a Snake 🐍 
~ Barzal is better 

Also New York Islanders Fans: https://t.co/euzgiAOEW6",El Hombre Verde ⚒️,2019-03-01 07:03:59
"RT @LeafsMaz20: New York Islanders #Isles fans:

~ I can’t wait to boo Tavares 
~ We don’t need you Video 
~ JT is a Snake 🐍 
~ Barzal is b…",Philip Andersson,2019-03-01 06:58:40
"Toronto - New York Islanders

December 29, 0-4
February 28, 1-6

After all traffic between the two... interesting.",Tommi Seppälä,2019-03-01 06:56:52
"RT @trump_nhl: Sloppy Steve Dangle is crying so very loudly after watching his propaganda Toronto Maple Leafs LOSE BADLY to big, bad Barry…",Timpa,2019-03-01 06:55:20
"RT @TSNHockey: It’s 4-1 #Isles after 40 and the crowd is ROWDY...

https://t.co/qX4v0ctcVs #TSNHockey #Tavares https://t.co/zQrLNZ6rZz",Rob Fredryk Szopen,2019-03-01 06:54:06
"RT @KPapetti: Dear Leo, 

For 5 years you were part of the Leafs, and many of those years you were the assistant captain. 

I'll never forg…",Asada,2019-03-01 06:54:04
"RT @KPapetti: Dear Leo, 

For 5 years you were part of the Leafs, and many of those years you were the assistant captain. 

I'll never forg…",Shalyn Brady,2019-03-01 06:49:37
"I will say I’m happy the islanders won tonight but I don’t think there could be a worse, whinier, weirder fan base than the New York islanders holy moly",Patty Ham & Cheese,2019-03-01 06:49:12
"RT @SI_NHL: The Islanders thought they lost their superstar last summer, but they've quickly found a new one in Barry Trotz, who has his ne…",🇫🇷 ovechkaps 🇨🇭,2019-03-01 06:48:38
The New York Islanders have also outscored the Toronto Maple Leafs 10-1 this season :) hope you have enjoyed these exclusive statistics at 2am,"regina phalange, a pitcher and catcher",2019-03-01 06:48:07
The New York Islanders are still in first place and Robin Lehner still leads the league in both GAA and save % :),"regina phalange, a pitcher and catcher",2019-03-01 06:47:15
"Islanders score six, surge past Maple Leafs in Tavares return https://t.co/6G1N887Dwo via @NHLdotcom",rob jannetty,2019-03-01 06:40:39
I think people need to re-read this... https://t.co/kC9wQiL1pp,Caroline Cuneo,2019-03-01 06:36:52
"Islanders score six, surge past Maple Leafs in Tavares return https://t.co/cEJBydd5JY via @NHLdotcom",kitty cat,2019-03-01 06:36:09
