Tweet,Author,Date
"Look at Facebook and see a bunch of people sharing this...

And I'm like 

@dwancherry ....I KNOW HER!!!

https://t.co/Q5gRFPtu9U",Don'tCry4MeJanHrdina,2019-03-01 09:39:26
Sidney Crosby is players' choice for best in NHL - Pittsburgh Post-Gazette Buy Ticket https://t.co/3zZSsyCqhi https://t.co/LLfr6RfPFC,NHL SAISON 2018-2019,2019-03-01 08:36:17
NHL Game Preview: Pittsburgh Penguins vs. Buffalo Sabres - 3/1/2019 - 7:05 PM EST - READ HERE: https://t.co/6waSUqhvPv,CapperTek,2019-03-01 08:07:07
It's time for a March of the Penguins https://t.co/0hMzU74gXh https://t.co/gyJxSUGPgE,sportmetweets,2019-03-01 08:02:56
Metropolitan Division Weekly Roundup: Trade Deadline Wrapup https://t.co/GKFAr1GsZb https://t.co/gyJxSUGPgE,sportmetweets,2019-03-01 08:02:56
Penguins will be tested in face of injuries - https://t.co/CR5GcJGtKp Buy Ticket https://t.co/3zZSsyCqhi https://t.co/ZfiAytZ4Le,NHL SAISON 2018-2019,2019-03-01 08:01:56
"Sid is a legit sports role mole, I've very proud that he represents Pittsburgh @MarkMaddenX @penguins https://t.co/NHTw6YGCRG",Jim LaMotta,2019-03-01 08:01:04
"RT @jmarshfof: This warms my heart. I've known @dwancherry for at least 6 years on Twitter. Although we've never met, I'd consider Dwan a f…",Richard Mayich,2019-03-01 07:41:57
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Nathanial Main,2019-03-01 07:12:36
"#NHL Play for 3/1:

Pittsburgh #Penguins ML",SaberHockey,2019-03-01 07:09:16
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Colton Marks,2019-03-01 07:02:17
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Scott Hey Hey,2019-03-01 06:25:02
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,H𝕒𝕣𝕣𝕪 Michelson,2019-03-01 06:07:29
RT @1SFpodcast: I spent a lot of nights on the southside in my younger years. This could be one of the coolest things to ever happen there.…,DElena's,2019-03-01 05:49:21
Final preyeparations for daughters sign for tomorrows Buffalo vs. Pittsburgh game.  Her Birthday … seeing her fave Geno play.  Sign will be on the Penguins tunnel she is hoping Geno likes her efforts (daddy helped).  #Malkin #SidneyCrosby #GoPensGO https://t.co/bjFt8yoT3a,Bluewater Design ,2019-03-01 05:36:03
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,max sylvan,2019-03-01 05:18:48
"RT @jmarshfof: This warms my heart. I've known @dwancherry for at least 6 years on Twitter. Although we've never met, I'd consider Dwan a f…",JohnnyBCool,2019-03-01 05:12:10
"RT @pensfoundation: Such a fun night of friendship (&amp; food!) during the launch party for the @penguins Wives + Girlfriends cookbook!

Get y…",Susan Kaczorowski,2019-03-01 05:03:25
"RT @jmarshfof: This warms my heart. I've known @dwancherry for at least 6 years on Twitter. Although we've never met, I'd consider Dwan a f…",Ride or Die Pens Fan 💛🐧💛 #SHALIEVE🦁,2019-03-01 05:01:58
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Dan McCoy,2019-03-01 04:57:19
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Bev Madara,2019-03-01 04:56:19
Jared McCan has great speed and terrific in goal scoring in the face-off wins keep improving| #LetsGoPens⁠ ⁠ #Penguins #pens #Pittsburgh #pittsburghpenguins #NHLTradeDeadline #NHL https://t.co/xl0dCyAfwy,"♉️[̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅] ""Majestic"" Marko",2019-03-01 04:55:50
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Mik,2019-03-01 04:49:31
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Allison,2019-03-01 04:41:37
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Scott Faldon,2019-03-01 04:22:11
"RT @Rick_City: This is really nice of the @Penguins and great for @dwancherry, who is my favourite super hero 

https://t.co/jUnMGWppkt",Blake,2019-03-01 04:21:37
@dwancherry just saw on the Pittsburgh news how the Penguins are going to help you out! And I’m glad to see you’re okay! The pictures of your car looked pretty rough,Anna ✌🏻❤️⚗️♻️🐧,2019-03-01 04:20:26
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Jay Bush,2019-03-01 04:20:19
RT @WPXIFinalWord: https://t.co/zV8uaY6yUZ More on the story of how the @Penguins turned around a rough week for a long-time fan injured in…,WPXI,2019-03-01 04:19:19
"This is really nice of the @Penguins and great for @dwancherry, who is my favourite super hero 

https://t.co/jUnMGWppkt",Tired and Jaded,2019-03-01 04:17:37
https://t.co/zV8uaY6yUZ More on the story of how the @Penguins turned around a rough week for a long-time fan injured in a crash #LetsGoPens,The Final Word,2019-03-01 04:17:27
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Lisa Lane,2019-03-01 04:16:24
@WiIIiamNylander @austonsgirll I’ve seen some Penguins fans here and there cause I follow a lot of Pittsburgh people. They are pretty off the wall sometimes,𝚂𝙲𝙾𝚁𝙴𝚂 💫,2019-03-01 04:16:04
RT @JMackeyPG: Dan Potash is one of the nicest and most genuine people I've met in this business. He also dresses up in ridiculous costumes…,Steve Siget,2019-03-01 04:15:13
"@adambell650 @koshtorontosun @Big_d79 @GoalieGearNerd Hey Adam, I don’t have a link for it, but I did see it and I believe it was on the Pittsburgh Penguins Twitter feed.",Ken Potter,2019-03-01 04:06:24
"RT @jmarshfof: This warms my heart. I've known @dwancherry for at least 6 years on Twitter. Although we've never met, I'd consider Dwan a f…",🇨🇦 Nancy 🇺🇸,2019-03-01 03:53:33
RT @RMHMorgantown: Grab your @pensfoundation / @LoveYourMelon beanies before they’re gone! A portion of your purchase helps keep families w…,Jessica,2019-03-01 03:50:30
"RT @jmarshfof: This warms my heart. I've known @dwancherry for at least 6 years on Twitter. Although we've never met, I'd consider Dwan a f…",Sarah Borland,2019-03-01 03:48:21
