Tweet,Author,Date
RT @FranklinSports: Bruins goalie and #FranklinFamily member had a message for a fellow Boston champion @JDMartinez14 🙌🏼 @NHLBruins @RedSox…,jordyn,2019-03-01 01:37:55
Then and now... #coachefamilyhashtag #nothingbeatsfamily #nhlbruins #boston #bruins @ TD Garden https://t.co/VvNPPssexD,Jason Coache,2019-03-01 01:37:39
"Puck drop in the middle frame!!! No score in Boston!!

#NHLBruins #BruinsFam #NHL #HockeyTwitter #IceSurfing #BREAKING #BreakingNews #Need2 #Bruins #ThursdayThoughts #ThursdayMotivation @NHLBruins",TapRoomSports,2019-03-01 01:36:48
I believe the Boston Bruins are going to win the Stanley Cup,matt,2019-03-01 01:35:58
@akaka996 @drosennhl Because we have to watch the Boston Bruins for the 78578436th time this season.,Paul Gornowski,2019-03-01 01:34:46
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",a nobody🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,2019-03-01 01:33:45
"RT @ConorRyan_93: In their last 247:20 of ice time against the Lightning (five games), the Bruins have scored one 5v5 goal. 

That, and mor…",Shelby T Mitchell,2019-03-01 01:31:17
"@kurtisgabriel Love it. I'm a Bruins fan, but that's class. Maybe you can come to Boston some day =D",Anthony,2019-03-01 01:30:48
"RT @ConorRyan_93: Hell of a start for the Bruins, but the Lightning have to be doing backflips that they kept Boston off the board.

Boston…",That Bruins Kid,2019-03-01 01:28:31
My cat could do a better job of broadcasting than Pierre McGuire #boston #bruins,Kara Kay,2019-03-01 01:27:59
"RT @dianacnearhos: That's the end of the first period. The Lightning and Bruins are scoreless, largely thanks to Domingue as Boston outshot…",AJ,2019-03-01 01:24:56
"RT @SavageBoston: ARE YOU ALL IN ON THE BOSTON BRUINS??!

RT - YES 

LIKE - YEA 

Comment - INDEED",Freedom,2019-03-01 01:23:27
@NHLBruins Go BOSTON BRUINS.,jose yaney,2019-03-01 01:23:17
"RT @dianacnearhos: That's the end of the first period. The Lightning and Bruins are scoreless, largely thanks to Domingue as Boston outshot…",boltsfan007,2019-03-01 01:22:44
"RT @ConorRyan_93: Hell of a start for the Bruins, but the Lightning have to be doing backflips that they kept Boston off the board.

Boston…",letsgobruins,2019-03-01 01:22:42
"RT @ConorRyan_93: Hell of a start for the Bruins, but the Lightning have to be doing backflips that they kept Boston off the board.

Boston…",Bruins Mafia,2019-03-01 01:22:39
"Hell of a start for the Bruins, but the Lightning have to be doing backflips that they kept Boston off the board.

Boston with the edge that period in:

SOG: 17-4
Attempts: 29-12
Scoring Chances: 16-4
High-Danger Chances: 6-0 https://t.co/BtYnc1IchK",Conor Ryan,2019-03-01 01:22:32
I’ll never hate a team more than I hate the Boston Bruins. Go Bolts!⚡️,Nora Brosan ⚡️,2019-03-01 01:21:16
"If you think John Tavares looks sad tonight, just wait till he's sitting on the bench staring into space as the Boston Bruins celebrate eliminating the Maple Leafs from the playoffs again",Taylor 🔥2019 Will Be Hell🔥 Carver,2019-03-01 01:21:07
This game is hard to watch. I do not like the Bruins. Boston plays dirty hockey!,Stammerfan91⚡️💙,2019-03-01 01:20:58
"#Bruins in total control in the 1st period against the 1st place #Lightning.
17-4 in shots on goal. 
Unfortunately for Boston, it's scoreless after one.",Raul Martinez,2019-03-01 01:20:54
"End Of 1st Period:  Scoreless  #Bruins #GoBolts  

SOG: 17-4 Boston Advantage.

Bouts:  1-0 #TBLightning https://t.co/o39wTiHyga",95.3 WDAE,2019-03-01 01:20:27
