Tweet,Author,Date
"Bruins Snap Lightning's Streak With 3 Late Goals 
 https://t.co/XX4GrXzzRv #THW #NHLBruins #GoBolts #NHL https://t.co/uLIMgA5oYZ",The Hockey Writers,2019-03-01 10:31:45
"RT @hockeyfights: Adam Erne vs David Backes from the Tampa Bay Lightning at Boston Bruins game on Feb 28, 2019 https://t.co/1vCbHM6dxo",Rejean Poirier,2019-03-01 10:27:59
"RT @FOXSportsFL: .@TBLightning's franchise-best 10-game winning streak snapped by Bruins, 4-1.

#GoBolts #NHL  

https://t.co/jygrNB3jN2",Morgane PlantazDebrix 🍀,2019-03-01 10:13:36
"RT @Erik_Erlendsson: With a chance to make history, #TBLightning see record winning streak come to a crashing end https://t.co/fLxZ5yfnOj",Morgane PlantazDebrix 🍀,2019-03-01 10:12:19
"https://t.co/cCcq1GS2i5
The #TampaBayLightning and #BostonBruins, two of the #NHL's hottest teams, meet on Thursday night at TD Garden in Boston.
#1xbit #TampaBay #Boston #Bruins #hockey #icehockey #hockeyplayer #hockeyplayers https://t.co/pNPEvh4jP4",1xBit,2019-03-01 10:06:10
"RT @WalterAllenTV: Teen in critical after a hit and run crash, lose dogs terrorizing a Polk Co. neighborhood, pastor and daughter caught in…",Roy Kuntz,2019-03-01 09:11:02
"Teen in critical after a hit and run crash, lose dogs terrorizing a Polk Co. neighborhood, pastor and daughter caught in tax fraud scheme, daring rescue in Dallas plus Bryce Harper coming to Tampa! Also, Tampa Bay Lightning win streak ends at 10 with a loss in Boston. @FOX13News",Walter Allen FOX 13,2019-03-01 08:59:00
2018-19 Upper Deck High Gloss #163 Brayden Point Tampa Bay Lightning Hockey Card: $50.53 End Date: Friday Mar-1-2019 1:21:52 PST Buy It Now for only: $50.53 Buy It Now | Add to watch list https://t.co/kflC8vE9sH https://t.co/rC5eEI3UaZ,BuyMySportsCards,2019-03-01 08:33:05
Tired Tampa Bay Lightning team dominated by Boston Bruins in 4-1 loss https://t.co/W7c3Y3q1u2 https://t.co/MtkwiliXSA,Lightning Hockey!!,2019-03-01 08:11:03
Order @OriginalFunko Pop! @NHL Series @RealStamkos91 now at https://t.co/DNY8wWoyzE #WCH2016 @TBLightning #NHL #TBL https://t.co/tMp73HAPn6,Sons of Hockey,2019-03-01 08:03:38
Cirelli's goal for Lightning not enough vs. Bruins https://t.co/2wx0ccwe4l,Friends of Anaheim,2019-03-01 07:01:37
"Bruins hand Lightning first loss in 11 games, extend point streak to 15 https://t.co/789ZAo6NFw via @NHLdotcom",rob jannetty,2019-03-01 06:41:47
"Bruins hand Lightning first loss in 11 games, extend point streak to 15 https://t.co/73TtxOpBeT via @NHLdotcom",kitty cat,2019-03-01 06:36:47
"I was gonna take a selfie w the ice cream cone I’m eating rn to back this tweet up but then I realized I never changed out of my Tampa Bay Lightning shirt so uhhhh this loss is on me, boys",Shey Junqueira,2019-03-01 06:26:07
"With a chance to make history, #TBLightning see record winning streak come to a crashing end https://t.co/fLxZ5yfnOj",Lightning Insider,2019-03-01 06:20:39
RT @SI_NHL: Boston snaps Tampa Bay’s franchise-best 10-game winning streak https://t.co/7vXH6bByH3,Jack,2019-03-01 06:01:38
"RT @hockeyfights: Adam Erne vs David Backes from the Tampa Bay Lightning at Boston Bruins game on Feb 28, 2019 https://t.co/1vCbHM6dxo",JTP,2019-03-01 05:55:40
"RT @hockeyfights: Adam Erne vs David Backes from the Tampa Bay Lightning at Boston Bruins game on Feb 28, 2019 https://t.co/1vCbHM6dxo",Shaine McKenna,2019-03-01 05:24:07
"Adam Erne vs David Backes from the Tampa Bay Lightning at Boston Bruins game on Feb 28, 2019 https://t.co/1vCbHM6dxo",hockeyfights,2019-03-01 05:05:02
"RT @VTSimone: FINAL TALLY!

February wins at Madison Square Garden:

New York Rangers: 3
NEW YORK KNICKS: 2
Wire Fox Terrier: 2
St. John's:…",Daly Dose Of Hoops,2019-03-01 05:03:39
