Team,positive,negative,neutral
Boston_Bruins,257,58,185
Buffalo_Sabres,264,94,142
Detroit_Red_Wings,246,131,123
Florida_Panthers,395,48,57
Montreal_Canadiens,139,285,76
Ottawa_Senators,186,168,146
Tampa_Bay_Lightning,234,84,182
Toronto_Maple_Leafs,90,38,372
Chicago_Blackhawks,280,34,186
Colorado_Avalanche,301,48,151
Dallas_Stars,240,86,174
Minnesota_Wild,252,78,170
Nashville_Predators,186,41,273
St._Louis_Blues,252,41,207
Winnipeg_Jets,253,93,154
Carolina_Hurricanes,236,109,155
Columbus_Blue_Jackets,172,74,254
New_Jersey_Devils,127,327,46
New_York_Islanders,233,201,66
New_York_Rangers,213,58,229
Philadelphia_Flyers,338,75,87
Pittsburgh_Penguins,309,78,113
Washington_Capitals,239,96,165
Anaheim_Ducks,254,66,180
Arizona_Coyotes,243,41,216
Calgary_Flames,243,127,130
Edmonton_Oilers,233,113,154
Los_Angeles_Kings,153,100,247
San_Jose_Sharks,199,70,231
Vancouver_Canucks,141,218,141
Vegas_Golden_Knights,330,45,125
